SMILES,Name,pIC50
COC(=O)c1cccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c12.Cl,CHEMBL2147188,6.567030709125595
Cc1nc(C(N)=O)cc(-c2ccc(Cl)cc2Cl)c1C#N,CHEMBL1688411,4.301029995663981
COc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL243800,8.080921907623926
Cl.N[C@@H](CC(=O)N1CCn2cnnc2C1)Cc1cc(F)c(F)cc1F,CHEMBL557187,7.167491087293763
N[C@@H](CC(=O)N1CCN(c2ccc(Cl)cc2)CC1)Cc1ccccc1F,CHEMBL410187,5.904133546521457
O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1c1cccc(CCc2cccc(C(F)(F)F)c2)c1,CHEMBL1771583,5.508638306165727
CN(Cc1ccc(C#N)cc1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,CHEMBL1683125,6.537602002101044
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nccc1=O,CHEMBL1650403,7.853871964321762
NCc1c(N)nc(-c2ccc(F)cc2)nc1-c1ccc(Cl)cc1Cl,CHEMBL34842,9.69897000433602
Cl.N[C@@H](CC(=O)N1N=CCC1C(=O)Nc1ccccc1OCC(=O)O)Cc1cc(F)c(F)cc1F,CHEMBL488713,5.070581074285707
COC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)C(=O)[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2ccccc12,CHEMBL4864489,5.3979400086720375
CC(C)=CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1cnc3ccccc3n1)c(=O)n2C,CHEMBL1951601,8.045757490560675
CC[C@@H](C)[C@H](N)C(=O)N1CC(F)(F)C[C@H]1C#N,CHEMBL3632867,9.096910013008056
N#C[C@@H]1CCCN1C(=O)C[C@@H](N)Cc1ccc(-c2cn(C3CCCCC3)nn2)cc1,CHEMBL5268023,6.06398920428479
NCC(=O)N1CCC[C@H]1B(O)O,CHEMBL67089,6.709209656255745
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1C(=O)NC1=NCCCN12,CHEMBL3675629,5.21374560421022
N[C@H]1CN(c2cc(-c3cc(F)cc(F)c3F)ncn2)C[C@@H]1c1ccccc1,CHEMBL1683557,7.886056647693163
C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650426,8.096910013008056
Cc1nc2cc(C(C)(C)C)nn2c(C)c1C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N.Cl,CHEMBL1929393,7.096910013008056
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cn(CC(=O)N(C)C)nn2)c1=O,CHEMBL4636081,7.543330370576243
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,CHEMBL379522,7.035725811169446
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2F)c1=O,CHEMBL4857729,8.55284196865778
COC(=O)c1cccc(Cn2c(=O)cc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c2=O)c1,CHEMBL4856604,7.823908740944319
N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,CHEMBL22294,7.67778070526608
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Br)cc1C(=O)O)c(=O)n2C,CHEMBL4461587,9.657577319177792
[N-]=[N+]=N[C@@H]1C[C@@H](C(=O)N2CCCC2)N(C(=O)CCCc2ccccc2)C1,CHEMBL2178955,4.0
C[C@@H](NC(=O)c1ccnc2ccc(-c3ccc(Cl)cc3)cc12)C(=O)N1CC(F)(F)C[C@H]1C#N,CHEMBL5843264,6.0
COCCN(CC(=O)N1CCC[C@H]1C#N)C(=O)c1ccnc2ccccc12,CHEMBL3233545,4.0
CNC(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL190752,7.431798275933005
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,CHEMBL403415,6.913640169325252
CCN(CC)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL364939,7.229147988357855
CCOc1cccc(-c2nnc3n2[C@@H]2CCN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)C[C@@H]2CC3)n1.Cl,CHEMBL4093298,6.856985199745905
O=C(CCC(=O)N1Cc2ccccc2C1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1.O=C(O)C(F)(F)F,CHEMBL1814738,4.0
