id,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,refchemids,refsids,pmcids,pclids,References,Compound_CID,Taxonomy_ID
,Natural Product Activity and Species Source (NPASS),Beta-Pinene,NPC78551,Beta-Pinene,https://bidd.group/NPASS/compound.php?compoundID=NPC78551,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,5603,481106943,,,,14896,136217
,Natural Product Activity and Species Source (NPASS),Vitamin E,NPC242580,Vitamin E,https://bidd.group/NPASS/compound.php?compoundID=NPC242580,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,56217,483926503,,,,14985,136217
,Natural Product Activity and Species Source (NPASS),Vitamin E,NPC242580,Vitamin E,https://bidd.group/NPASS/compound.php?compoundID=NPC242580,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,56217,483926503,,,,14985,136217
,Natural Product Activity and Species Source (NPASS),Vitamin E,NPC242580,Vitamin E,https://bidd.group/NPASS/compound.php?compoundID=NPC242580,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,56217,483926503,,,,14985,136217
,LOTUS - the natural products occurrence database,2-Hydroxy-5-methylacetophenone,Q27251292,2'-Hydroxy-5'-methylacetophenone,https://www.wikidata.org/wiki/Q27251292,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1016/0021-9673(96)00103-3,https://doi.org/10.1016/0021-9673(96)00103-3,,10.1016/0021-9673(96)00103-3,473275|473275,505469005|505469005,,721480478,"Hiserodt R, Hartman TG, Ho C, Rosen RT. Characterization of powdered turmeric by liquid chromatography-mass spectrometry and gas chromatography-mass spectrometry. Journal of Chromatography A. 1996 Jul;740(1):51–63. doi: 10.1016/0021-9673(96)00103-3.",15068,136217
,Natural Product Activity and Species Source (NPASS),Chlorothalonil,NPC245531,Chlorothalonil,https://bidd.group/NPASS/compound.php?compoundID=NPC245531,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),PMID:12617587,https://www.ncbi.nlm.nih.gov/pubmed/12617587,12617587,,125527,500768945,,,,15910,136217
,LOTUS - the natural products occurrence database,Chlorothalonil,Q418320,Chlorothalonil,https://www.wikidata.org/wiki/Q418320,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1021/JF0210369,https://doi.org/10.1021/JF0210369,,10.1021/JF0210369,125527,500768945,,20647425,"Kim MK, Choi GJ, Lee HS. Fungicidal property of Curcuma longa L. rhizome-derived curcumin against phytopathogenic fungi in a greenhouse. J Agric Food Chem. 2003 Mar 12;51(6):1578–81. doi: 10.1021/jf0210369. PMID: 12617587.",15910,136217
,LOTUS - the natural products occurrence database,"Carvone, (+)-",Q27889969,d-Carvone,https://www.wikidata.org/wiki/Q27889969,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1021/JF9908594,https://doi.org/10.1021/JF9908594,,10.1021/JF9908594,31809,482038025,,3611991,"Gopalan B, Goto M, Kodama A, Hirose T. Supercritical carbon dioxide extraction of turmeric (Curcuma longa). J Agric Food Chem. 2000 Jun;48(6):2189–92. doi: 10.1021/jf9908594. PMID: 10888520.",16724,136217
,Natural Product Activity and Species Source (NPASS),"Carvone, (+)-",NPC163984,(S)(+)Carvone,https://bidd.group/NPASS/compound.php?compoundID=NPC163984,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,16724,136217
,LOTUS - the natural products occurrence database,Tricosanoic Acid,Q4463035,Tricosanoic acid,https://www.wikidata.org/wiki/Q4463035,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/14786410903052951,https://doi.org/10.1080/14786410903052951,,10.1080/14786410903052951,899281,505895206,,3123419,"Aspollah Sukari M, Wah TS, Saad SM, Rashid NY, Rahmani M, Lajis NH, Hin TY. Bioactive sesquiterpenes from<i>Curcuma ochrorhiza</i>and<i>Curcuma heyneana</i>. Natural Product Research. 2010 May 20;24(9):838–45. doi: 10.1080/14786410903052951.",17085,136217
,Natural Product Activity and Species Source (NPASS),Alpha-Terpineol,NPC26906,2-(4-Methylcyclohex-3-En-1-Yl)Propan-2-Ol,https://bidd.group/NPASS/compound.php?compoundID=NPC26906,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,5531,481106871,,,,17100,136217
,Natural Product Activity and Species Source (NPASS),Alpha-Terpineol,NPC26906,2-(4-Methylcyclohex-3-En-1-Yl)Propan-2-Ol,https://bidd.group/NPASS/compound.php?compoundID=NPC26906,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,5531,481106871,,,,17100,136217
,Natural Product Activity and Species Source (NPASS),Alpha-Terpineol,NPC26906,2-(4-Methylcyclohex-3-En-1-Yl)Propan-2-Ol,https://bidd.group/NPASS/compound.php?compoundID=NPC26906,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,5531,481106871,,,,17100,136217
,LOTUS - the natural products occurrence database,Alpha-Terpineol,Q27109437,alpha-TERPINEOL,https://www.wikidata.org/wiki/Q27109437,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1021/JF9908594|DOI:10.1002/PTR.2137|DOI:10.1002/PCA.759|DOI:10.1002/FFJ.1053,https://doi.org/10.1021/JF9908594|https://doi.org/10.1002/PTR.2137|https://doi.org/10.1002/PCA.759|https://doi.org/10.1002/FFJ.1053,,10.1021/JF9908594|10.1002/PTR.2137|10.1002/PCA.759|10.1002/FFJ.1053,5531,481106871,,3611991|8550512|16662564|646685102,"Jatoi SA, Kikuchi A, Gilani SA, Watanabe KN. Phytochemical, pharmacological and ethnobotanical studies in mango ginger (<i>Curcuma amada</i> Roxb.; Zingiberaceae). Phytotherapy Research. 2007 Apr 02;21(6):507–16. doi: 10.1002/ptr.2137.|Lechtenberg M, Quandt B, Nahrstedt A. Quantitative determination of curcuminoids in <i>Curcuma</i> rhizomes and rapid differentiation of <i>Curcuma domestica</i> Val. and <i>Curcuma xanthorrhiza</i> Roxb. by capillary electrophoresis. Phytochemical Analysis. 2004 May;15(3):152–8. doi: 10.1002/pca.759.|Raina VK, Srivastava SK, Jain N, Ahmad A, Syamasundar KV, Aggarwal KK. Essential oil composition of <i>Curcuma longa</i> L. cv. Roma from the plains of northern India. Flavour & Fragrance J. 2002 Jan 16;17(2):99–102. doi: 10.1002/ffj.1053.|Gopalan B, Goto M, Kodama A, Hirose T. Supercritical carbon dioxide extraction of turmeric (Curcuma longa). J Agric Food Chem. 2000 Jun;48(6):2189–92. doi: 10.1021/jf9908594. PMID: 10888520.",17100,136217
,Natural Product Activity and Species Source (NPASS),alpha-Thujene,NPC215632,NPC215632,https://bidd.group/NPASS/compound.php?compoundID=NPC215632,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,17868,136217
,Natural Product Activity and Species Source (NPASS),alpha-Thujene,NPC215632,NPC215632,https://bidd.group/NPASS/compound.php?compoundID=NPC215632,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,17868,136217
,LOTUS - the natural products occurrence database,alpha-Thujene,Q27121796,alpha-Thujene,https://www.wikidata.org/wiki/Q27121796,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/FFJ.1053,https://doi.org/10.1002/FFJ.1053,,10.1002/FFJ.1053,915574,516561482,,646685102,"Raina VK, Srivastava SK, Jain N, Ahmad A, Syamasundar KV, Aggarwal KK. Essential oil composition of <i>Curcuma longa</i> L. cv. Roma from the plains of northern India. Flavour & Fragrance J. 2002 Jan 16;17(2):99–102. doi: 10.1002/ffj.1053.",17868,136217
,Natural Product Activity and Species Source (NPASS),Sabinene,NPC246165,Sabinene,https://bidd.group/NPASS/compound.php?compoundID=NPC246165,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,55455,483925741,,,,18818,136217
,Natural Product Activity and Species Source (NPASS),Sabinene,NPC246165,Sabinene,https://bidd.group/NPASS/compound.php?compoundID=NPC246165,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),PMID:12617587,https://www.ncbi.nlm.nih.gov/pubmed/12617587,12617587,,55455,483925741,,,,18818,136217
,LOTUS - the natural products occurrence database,Sabinene,Q421278,Sabinene,https://www.wikidata.org/wiki/Q421278,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1021/JF0210369,https://doi.org/10.1021/JF0210369,,10.1021/JF0210369,55455,483925741,,20647425,"Kim MK, Choi GJ, Lee HS. Fungicidal property of Curcuma longa L. rhizome-derived curcumin against phytopathogenic fungi in a greenhouse. J Agric Food Chem. 2003 Mar 12;51(6):1578–81. doi: 10.1021/jf0210369. PMID: 12617587.",18818,136217
,Natural Product Activity and Species Source (NPASS),Sabinene,NPC246165,Sabinene,https://bidd.group/NPASS/compound.php?compoundID=NPC246165,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,55455,483925741,,,,18818,136217
,Natural Product Activity and Species Source (NPASS),Sabinene,NPC246165,Sabinene,https://bidd.group/NPASS/compound.php?compoundID=NPC246165,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,55455,483925741,,,,18818,136217
,Natural Product Activity and Species Source (NPASS),"1,3-Dimethyl-8-(1-methylethyl)tricyclo(4.4.0.02,7)dec-3-ene",NPC95675,NPC95675,https://bidd.group/NPASS/compound.php?compoundID=NPC95675,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,19725,136217
,Natural Product Activity and Species Source (NPASS),"1,3-Dimethyl-8-(1-methylethyl)tricyclo(4.4.0.02,7)dec-3-ene",NPC95675,NPC95675,https://bidd.group/NPASS/compound.php?compoundID=NPC95675,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,19725,136217
,Natural Product Activity and Species Source (NPASS),1-Methyl-4-Prop-1-En-2-Ylcyclohexene,NPC34764,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,https://bidd.group/NPASS/compound.php?compoundID=NPC34764,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,1055817,518147164,,,,22311,136217
,Natural Product Activity and Species Source (NPASS),1-Methyl-4-Prop-1-En-2-Ylcyclohexene,NPC34764,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,https://bidd.group/NPASS/compound.php?compoundID=NPC34764,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,1055817,518147164,,,,22311,136217
,Natural Product Activity and Species Source (NPASS),1-Methyl-4-Prop-1-En-2-Ylcyclohexene,NPC34764,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,https://bidd.group/NPASS/compound.php?compoundID=NPC34764,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,1055817,518147164,,,,22311,136217
,Natural Product Activity and Species Source (NPASS),1-Methyl-4-Prop-1-En-2-Ylcyclohexene,NPC34764,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,https://bidd.group/NPASS/compound.php?compoundID=NPC34764,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,1055817,518147164,,,,22311,136217
,LOTUS - the natural products occurrence database,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,Q278809,Limonene,https://www.wikidata.org/wiki/Q278809,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/10412905.1995.9700537|DOI:10.1002/PTR.2137|DOI:10.1002/PCA.759,https://doi.org/10.1080/10412905.1995.9700537|https://doi.org/10.1002/PTR.2137|https://doi.org/10.1002/PCA.759,,10.1080/10412905.1995.9700537|10.1002/PTR.2137|10.1002/PCA.759,,,,8550512|16662564|626400848,"Jatoi SA, Kikuchi A, Gilani SA, Watanabe KN. Phytochemical, pharmacological and ethnobotanical studies in mango ginger (<i>Curcuma amada</i> Roxb.; Zingiberaceae). Phytotherapy Research. 2007 Apr 02;21(6):507–16. doi: 10.1002/ptr.2137.|Lechtenberg M, Quandt B, Nahrstedt A. Quantitative determination of curcuminoids in <i>Curcuma</i> rhizomes and rapid differentiation of <i>Curcuma domestica</i> Val. and <i>Curcuma xanthorrhiza</i> Roxb. by capillary electrophoresis. Phytochemical Analysis. 2004 May;15(3):152–8. doi: 10.1002/pca.759.|Dung NX, Tuyecirc;t NTB, Leclercq PA. Constituents of the Leaf Oil of<i>Curcuma domestica</i>L. from Vietnam. Journal of Essential Oil Research. 1995 Nov;7(6):701–3. doi: 10.1080/10412905.1995.9700537.",22311,136217
,Natural Product Activity and Species Source (NPASS),1-Methyl-4-Prop-1-En-2-Ylcyclohexene,NPC34764,1-Methyl-4-Prop-1-En-2-Ylcyclohexene,https://bidd.group/NPASS/compound.php?compoundID=NPC34764,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,1055817,518147164,,,,22311,136217
,LOTUS - the natural products occurrence database,"2,6,6,9-Tetramethylcycloundeca-1,4,8-triene",Q27121615,"1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-",https://www.wikidata.org/wiki/Q27121615,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/PCA.759,https://doi.org/10.1002/PCA.759,,10.1002/PCA.759,,,,8550512,"Lechtenberg M, Quandt B, Nahrstedt A. Quantitative determination of curcuminoids in <i>Curcuma</i> rhizomes and rapid differentiation of <i>Curcuma domestica</i> Val. and <i>Curcuma xanthorrhiza</i> Roxb. by capillary electrophoresis. Phytochemical Analysis. 2004 May;15(3):152–8. doi: 10.1002/pca.759.",23204,136217
,LOTUS - the natural products occurrence database,Silane,Q410572,Silane,https://www.wikidata.org/wiki/Q410572,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.4103/0253-7613.84961,https://doi.org/10.4103/0253-7613.84961,,10.4103/0253-7613.84961,6217,481107557,PMC3195121,24211795,"Liju VB, Jeena K, Kuttan R. An evaluation of antioxidant, anti-inflammatory, and antinociceptive activities of essential oil from Curcuma longa. L. Indian J Pharmacol. 2011 Sep;43(5):526–31. PMID: 22021994; PMCID: PMC3195121.",23953,136217
,Natural Product Activity and Species Source (NPASS),3-Carene,NPC296337,Carene,https://bidd.group/NPASS/compound.php?compoundID=NPC296337,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,26049,136217
,Natural Product Activity and Species Source (NPASS),3-Carene,NPC296337,Carene,https://bidd.group/NPASS/compound.php?compoundID=NPC296337,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,26049,136217
,LOTUS - the natural products occurrence database,3-Carene,Q19414,3-Carene,https://www.wikidata.org/wiki/Q19414,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/10412905.1995.9700537|DOI:10.1002/PCA.759,https://doi.org/10.1080/10412905.1995.9700537|https://doi.org/10.1002/PCA.759,,10.1080/10412905.1995.9700537|10.1002/PCA.759,25860,482043852,,8550512|626400848,"Lechtenberg M, Quandt B, Nahrstedt A. Quantitative determination of curcuminoids in <i>Curcuma</i> rhizomes and rapid differentiation of <i>Curcuma domestica</i> Val. and <i>Curcuma xanthorrhiza</i> Roxb. by capillary electrophoresis. Phytochemical Analysis. 2004 May;15(3):152–8. doi: 10.1002/pca.759.|Dung NX, Tuyecirc;t NTB, Leclercq PA. Constituents of the Leaf Oil of<i>Curcuma domestica</i>L. from Vietnam. Journal of Essential Oil Research. 1995 Nov;7(6):701–3. doi: 10.1080/10412905.1995.9700537.",26049,136217
,Natural Product Activity and Species Source (NPASS),3-Carene,NPC296337,Carene,https://bidd.group/NPASS/compound.php?compoundID=NPC296337,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,26049,136217
,LOTUS - the natural products occurrence database,"4,11,11-Trimethyl-8-methylenebicyclo(7.2.0)undec-4-ene",Q103815938,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1S,4E,9R)-",https://www.wikidata.org/wiki/Q103815938,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1002/PTR.2137|DOI:10.1002/PCA.759|DOI:10.1002/FFJ.1053,https://doi.org/10.1002/PTR.2137|https://doi.org/10.1002/PCA.759|https://doi.org/10.1002/FFJ.1053,,10.1002/PTR.2137|10.1002/PCA.759|10.1002/FFJ.1053,,,,8550512|16662564|646685102,"Jatoi SA, Kikuchi A, Gilani SA, Watanabe KN. Phytochemical, pharmacological and ethnobotanical studies in mango ginger (<i>Curcuma amada</i> Roxb.; Zingiberaceae). Phytotherapy Research. 2007 Apr 02;21(6):507–16. doi: 10.1002/ptr.2137.|Lechtenberg M, Quandt B, Nahrstedt A. Quantitative determination of curcuminoids in <i>Curcuma</i> rhizomes and rapid differentiation of <i>Curcuma domestica</i> Val. and <i>Curcuma xanthorrhiza</i> Roxb. by capillary electrophoresis. Phytochemical Analysis. 2004 May;15(3):152–8. doi: 10.1002/pca.759.|Raina VK, Srivastava SK, Jain N, Ahmad A, Syamasundar KV, Aggarwal KK. Essential oil composition of <i>Curcuma longa</i> L. cv. Roma from the plains of northern India. Flavour & Fragrance J. 2002 Jan 16;17(2):99–102. doi: 10.1002/ffj.1053.",26318,136217
,Natural Product Activity and Species Source (NPASS),"Carbamic acid, methyl-, 3-(dimethylamino)-p-tolyl ester",NPC137153,NPC137153,https://bidd.group/NPASS/compound.php?compoundID=NPC137153,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,26479,136217
,Natural Product Activity and Species Source (NPASS),4-Methyl-1-(6-methylhept-5-en-2-yl)cyclohex-3-en-1-ol,NPC36083,NPC36083,https://bidd.group/NPASS/compound.php?compoundID=NPC36083,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,27208,136217
,Natural Product Activity and Species Source (NPASS),"4,6,6-Trimethylbicyclo(3.1.1)hept-3-en-2-one",NPC30853,NPC30853,https://bidd.group/NPASS/compound.php?compoundID=NPC30853,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,29025,136217
,Natural Product Activity and Species Source (NPASS),"4,6,6-Trimethylbicyclo(3.1.1)hept-3-en-2-one",NPC30853,NPC30853,https://bidd.group/NPASS/compound.php?compoundID=NPC30853,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,29025,136217
,Natural Product Activity and Species Source (NPASS),2-Methyl-2-hepten-4-one,NPC303866,NPC303866,https://bidd.group/NPASS/compound.php?compoundID=NPC303866,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,31138,136217
,LOTUS - the natural products occurrence database,Myrcene,Q424577,Myrcene,https://www.wikidata.org/wiki/Q424577,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/10412905.1995.9700537|DOI:10.1002/PTR.2137|DOI:10.1002/PCA.759|DOI:10.1002/FFJ.1053,https://doi.org/10.1080/10412905.1995.9700537|https://doi.org/10.1002/PTR.2137|https://doi.org/10.1002/PCA.759|https://doi.org/10.1002/FFJ.1053,,10.1080/10412905.1995.9700537|10.1002/PTR.2137|10.1002/PCA.759|10.1002/FFJ.1053,6044,481107384,,8550512|16662564|626400848|646685102,"Jatoi SA, Kikuchi A, Gilani SA, Watanabe KN. Phytochemical, pharmacological and ethnobotanical studies in mango ginger (<i>Curcuma amada</i> Roxb.; Zingiberaceae). Phytotherapy Research. 2007 Apr 02;21(6):507–16. doi: 10.1002/ptr.2137.|Lechtenberg M, Quandt B, Nahrstedt A. Quantitative determination of curcuminoids in <i>Curcuma</i> rhizomes and rapid differentiation of <i>Curcuma domestica</i> Val. and <i>Curcuma xanthorrhiza</i> Roxb. by capillary electrophoresis. Phytochemical Analysis. 2004 May;15(3):152–8. doi: 10.1002/pca.759.|Raina VK, Srivastava SK, Jain N, Ahmad A, Syamasundar KV, Aggarwal KK. Essential oil composition of <i>Curcuma longa</i> L. cv. Roma from the plains of northern India. Flavour & Fragrance J. 2002 Jan 16;17(2):99–102. doi: 10.1002/ffj.1053.|Dung NX, Tuyecirc;t NTB, Leclercq PA. Constituents of the Leaf Oil of<i>Curcuma domestica</i>L. from Vietnam. Journal of Essential Oil Research. 1995 Nov;7(6):701–3. doi: 10.1080/10412905.1995.9700537.",31253,136217
,Natural Product Activity and Species Source (NPASS),Myrcene,NPC138113,Myrcene,https://bidd.group/NPASS/compound.php?compoundID=NPC138113,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6044,481107384,,,,31253,136217
,Natural Product Activity and Species Source (NPASS),Myrcene,NPC138113,Myrcene,https://bidd.group/NPASS/compound.php?compoundID=NPC138113,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6044,481107384,,,,31253,136217
,Natural Product Activity and Species Source (NPASS),Propionic anhydride,NPC203105,Propanoyl Propanoate,https://bidd.group/NPASS/compound.php?compoundID=NPC203105,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,31263,136217
,LOTUS - the natural products occurrence database,Paclitaxel,Q423762,Paclitaxel,https://www.wikidata.org/wiki/Q423762,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1021/NP300551G,https://doi.org/10.1021/NP300551G,,10.1021/NP300551G,6096,481107436,,33644505,"Lin X, Ji S, Li R, Dong Y, Qiao X, Hu H, Yang W, Guo D, Tu P, Ye M. Terpecurcumins A-I from the rhizomes of Curcuma longa: absolute configuration and cytotoxic activity. J Nat Prod. 2012 Dec 28;75(12):2121–31. doi: 10.1021/np300551g. PMID: 23153397.",36314,136217
,Natural Product Activity and Species Source (NPASS),Paclitaxel,NPC208553,Paclitaxel,https://bidd.group/NPASS/compound.php?compoundID=NPC208553,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),PMID:23153397,https://www.ncbi.nlm.nih.gov/pubmed/23153397,23153397,,6096,481107436,,,,36314,136217
,Natural Product Activity and Species Source (NPASS),"3,4,5-Trimethyl-2-cyclopenten-1-one",NPC39347,NPC39347,https://bidd.group/NPASS/compound.php?compoundID=NPC39347,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,41520,136217
,Natural Product Activity and Species Source (NPASS),Npc152989,NPC152989,NPC152989,https://bidd.group/NPASS/compound.php?compoundID=NPC152989,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,1092736|1092736,518184082|518184082,,,,61060,136217
,Natural Product Activity and Species Source (NPASS),Verbenol,NPC100502,NPC100502,https://bidd.group/NPASS/compound.php?compoundID=NPC100502,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,61126,136217
,Natural Product Activity and Species Source (NPASS),Verbenol,NPC100502,NPC100502,https://bidd.group/NPASS/compound.php?compoundID=NPC100502,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,61126,136217
,Natural Product Activity and Species Source (NPASS),Myrtenal,NPC16070,NPC16070,https://bidd.group/NPASS/compound.php?compoundID=NPC16070,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,61130,136217
,Natural Product Activity and Species Source (NPASS),Myrtenal,NPC16070,NPC16070,https://bidd.group/NPASS/compound.php?compoundID=NPC16070,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,61130,136217
,Natural Product Activity and Species Source (NPASS),"(6,6-Dimethylbicyclo(3.1.1)hept-2-en-2-yl)methyl acetate",NPC7639,NPC7639,https://bidd.group/NPASS/compound.php?compoundID=NPC7639,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,61262,136217
,Natural Product Activity and Species Source (NPASS),"(6,6-Dimethylbicyclo(3.1.1)hept-2-en-2-yl)methyl acetate",NPC7639,NPC7639,https://bidd.group/NPASS/compound.php?compoundID=NPC7639,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,61262,136217
