CID,Name
119831,Cedrenol
121719,Pinocarvone
122836,5-Methyl-2-(6-methylhept-5-en-2-yl)phenol
124072,Tetrahydrocurcumin
133145,Yakuchinone A
138275,"1,4-Cyclohex-2-enedione"
138647,"1,3-Dicyclopentylcyclopentane"
138811,"Pentacosane, 13-cyclohexyl-"
146723,"1-(4-Hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-1,6-heptadiene-3,5-dione"
147439,"1,7-Bis(4-hydroxyphenyl)-1,6-Heptadiene-3,5-dione"
153845,Curcumenone
156118,(+)-Curcuphenol
156709,Tetramethylpyrazine hydrochloride
159055,D-Camphor
160512,(+)-Turmerone
160771,"(3s,5s,6s,8As)-3-methyl-8-methylidene-5-(propan-2-yl)octahydro-6h-3a,6-epoxyazulen-6-ol"
161491,Methylarsonous acid
167812,Curcumenol
176983,"p-Mentha-1,3,8-triene"
177131,Polycyclic Sesquiterpenes
177751,"7,8-Dihydro-8,8-dimethyl-2H,6H-benzo(1,2-b:5,4-b')dipyran-2,6-dione"
179413,"3,6,10-trimethyl-8,11-dihydro-7H-cyclodeca[b]furan-4-one"
189061,Procurcumenol
196216,beta-Turmerone
220076,trans-Pinan-2-ol
222284,(-)-beta-Sitosterol
226036,Npc37409
230920,Exoborneol
236409,1-Cyclohexyl-3-cyclopentylpropane
329983,Menthofuran
341779,Sesquicineole
360253,Curcuphenol
381152,Piperitenone
387977,"(3S,3aS,6R,8aS)-3,8-Dimethyl-5-(propan-2-ylidene)-2,3,4,5,6,8a-hexahydro-1H-3a,6-epoxyazulen-6-ol"
390474,"1-(3,4-Dihydroxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione"
403919,"1-Methyl-4-(6-Methylhepta-1,5-Dien-2-Yl)Cyclohexene"
439250,"Limonene, (-)-"
439568,Npc308218
439569,Npc196490
439570,"Carvone, (-)-"
440917,(+)-Limonene
440966,(-)-Camphene
442015,Tinosporin
442343,Levomenol
442360,(-)-alpha-Curcumene
442393,Beta-Selinene
442460,"(1S,2R,4S)-(-)-Bornyl acetate"
442461,(-)-3-Carene
442478,(+)-Menthofuran
442501,(+)-alpha-Terpineol
442783,"1,4,6-Heptatrien-3-one, 5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-"
443131,"(1R,2S,4R)-(+)-Bornyl acetate"
443156,(+)-3-Carene
443157,(S)-(-)-Citronellal
443158,(-)-Linalool
443160,(+)-alpha-Phellandrene
443162,(L)-alpha-terpineol
444294,"Camphor, (-)-"
444899,Arachidonic Acid
445070,Farnesol
445638,Palmitoleic Acid
445639,Oleic Acid
445858,Ferulic Acid
468133,"1,5-Bis(4-hydroxy-3-methoxyphenyl)penta-1,4-dien-3-one"
468139,"1,4,6-Heptatrien-3-one, 5-hydroxy-1,7-bis(4-hydroxyphenyl)-"
493570,Riboflavin
512289,Npc219400
518796,"6,10-Dimethyl-3-propan-2-ylcyclodec-6-ene-1,4-dione"
519361,7-Isopropenyl-4a-methyl-1-methylenedecahydronaphthalene
519662,Cadin-4-en-10-ol
